,provinsi,kab_kota,kecamatan,url
195,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Taraju,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021210
196,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sariwangi,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021229
197,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021212
198,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Sukarame,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021231
199,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Parungponteng,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021228
200,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Padakembang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021239
201,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Puspahiang,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021234
202,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cineam,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021215
203,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Mangunreja,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021236
204,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Kadipaten,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021241
205,Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Gunungtanjung,http://dapo.dikdasmen.kemdikbud.go.id/sp/3/021237
