provinsi,kab_kota,url
Prov. Kalimantan Barat,Kab. Landak,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/130900
Prov. Kalimantan Barat,Kab. Sambas,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/130100
Prov. Kalimantan Barat,Kab. Kapuas Hulu,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/130500
Prov. Kalimantan Barat,Kab. Melawi,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/131100
Prov. Kalimantan Barat,Kab. Bengkayang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/130800
Prov. Kalimantan Barat,Kota Pontianak,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/136000
Prov. Kalimantan Barat,Kab. Sekadau,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/131000
Prov. Kalimantan Barat,Kab. Mempawah,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/130200
Prov. Kalimantan Barat,Kota Singkawang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/136100
Prov. Kalimantan Barat,Kab. Kayong Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/131200
Prov. Sumatera Barat,Kota Padang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/086100
Prov. Sumatera Barat,Kab. Agam,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/080100
Prov. Sumatera Barat,Kab. Pesisir Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/080600
Prov. Sumatera Barat,Kab. Padang Pariaman,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/080500
Prov. Sumatera Barat,Kab. Solok,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/080400
Prov. Sumatera Barat,Kab. Lima Puluh Koto,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/080300
Prov. Sumatera Barat,Kab. Tanah Datar,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/080700
Prov. Sumatera Barat,Kab. Pasaman Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/081300
Prov. Sumatera Barat,Kab. Pasaman,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/080200
Prov. Sumatera Barat,Kab. Sijunjung,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/080800
Prov. Sumatera Barat,Kab. Dharmasraya,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/081200
Prov. Sumatera Barat,Kab. Solok Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/081100
Prov. Sumatera Barat,Kab. Kepulauan Mentawai,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/081000
Prov. Sumatera Barat,Kota Payakumbuh,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/086500
Prov. Sumatera Barat,Kota Pariaman,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/086600
Prov. Sumatera Barat,Kota Bukittinggi,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/086000
Prov. Sumatera Barat,Kota Sawah Lunto,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/086300
